,cross-validation,cross-validation,cross-validation,cross-validation,cross-validation,test,test,test,test,test
,accuracy,recall,precision,roc_auc,f1,accuracy,recall,precision,roc_auc,f1
Baseline 1: bag-of-word with lr,0.34,0.786,0.234,0.505,0.359,0.319,0.818,0.286,0.509,0.424
Baseline 2: tf-idf with lr,0.243,0.971,0.239,0.54,0.384,0.528,0.591,0.342,0.563,0.433
all features,0.67,0.7,0.402,0.7440000000000001,0.509,0.583,0.682,0.395,0.585,0.5
- academic_background,0.621,0.729,0.377,0.735,0.485,0.625,0.682,0.429,0.607,0.526
- educational_level,0.649,0.714,0.384,0.718,0.497,0.556,0.591,0.361,0.576,0.448
- internal_glentel_profile,0.67,0.7,0.402,0.744,0.509,0.583,0.682,0.395,0.585,0.5
- job_counts,0.67,0.7,0.402,0.744,0.509,0.583,0.682,0.395,0.585,0.5
- job_tenure_general,0.688,0.7,0.424,0.729,0.527,0.556,0.591,0.361,0.583,0.448
- job_tenure_industry,0.67,0.7,0.402,0.744,0.509,0.583,0.682,0.395,0.585,0.5
- knowledge_and_skills,0.541,0.671,0.284,0.693,0.382,0.625,0.591,0.419,0.634,0.491
- readability,0.67,0.7,0.402,0.744,0.509,0.583,0.682,0.395,0.585,0.5
- work_experience_industry,0.621,0.714,0.366,0.729,0.478,0.556,0.364,0.308,0.558,0.333
- work_experience_industry_recency,0.659,0.686,0.404,0.739,0.498,0.583,0.636,0.389,0.578,0.483
- work_experience_position,0.719,0.629,0.452,0.719,0.522,0.625,0.5,0.407,0.573,0.449
