,employee_code,y_obs_train,y_pred_train,non-high performer,high performer,False_positive,False_negative
0,MZE,0.0,0.0,0.5687956325843144,0.4312043674156856,0,0
1,MRU,0.0,1.0,0.45899896797736606,0.5410010320226339,1,0
2,LAP,0.0,0.0,0.6033719445595894,0.3966280554404106,0,0
3,MYD,1.0,1.0,0.32088702202596997,0.67911297797403,0,0
4,JJB,0.0,0.0,0.6270725525476007,0.37292744745239925,0,0
5,MVZ,0.0,1.0,0.42811340729493386,0.5718865927050661,1,0
6,N0F,1.0,1.0,0.2648714051244905,0.7351285948755095,0,0
7,N1L,0.0,0.0,0.6133889499046408,0.3866110500953593,0,0
8,NAY,0.0,0.0,0.505814830360308,0.49418516963969195,0,0
9,N5M,0.0,0.0,0.6182494312167528,0.38175056878324726,0,0
10,MQM,0.0,0.0,0.5514992138453283,0.4485007861546717,0,0
11,MU9,0.0,0.0,0.5913292467812188,0.40867075321878116,0,0
12,MW9,1.0,1.0,0.45899896797736606,0.5410010320226339,0,0
13,MVX,0.0,0.0,0.513227682427813,0.486772317572187,0,0
14,N7I,0.0,0.0,0.8404541924165809,0.15954580758341907,0,0
15,MWN,0.0,1.0,0.43118092268820596,0.568819077311794,1,0
16,N3V,1.0,1.0,0.31007469067593274,0.6899253093240673,0,0
17,MZS,0.0,0.0,0.5300945931888528,0.46990540681114723,0,0
18,NAX,0.0,1.0,0.40680767948249275,0.5931923205175073,1,0
19,N5U,1.0,1.0,0.31879032845986555,0.6812096715401345,0,0
20,N6Z,0.0,0.0,0.6182494312167528,0.38175056878324726,0,0
21,MQK,0.0,0.0,0.791896188167297,0.20810381183270305,0,0
22,N3T,0.0,0.0,0.8725804510260305,0.12741954897396945,0,0
23,ND5,0.0,0.0,0.6152906437372301,0.3847093562627699,0,0
24,N7Y,1.0,0.0,0.5089436222906398,0.4910563777093602,0,1
25,N6U,0.0,1.0,0.45899896797736606,0.5410010320226339,1,0
26,N8R,1.0,0.0,0.7835239169195107,0.21647608308048924,0,1
27,N3C,0.0,1.0,0.3409209035961084,0.6590790964038916,1,0
28,N0Y,0.0,0.0,0.7233627102287516,0.2766372897712484,0,0
29,MXA,1.0,0.0,0.624140575716433,0.375859424283567,0,1
30,N29,0.0,0.0,0.6152906437372301,0.3847093562627699,0,0
31,N08,0.0,0.0,0.624140575716433,0.375859424283567,0,0
32,MUA,1.0,0.0,0.6021990631558871,0.39780093684411294,0,1
33,N38,1.0,1.0,0.4219951480045526,0.5780048519954474,0,0
34,MSY,1.0,1.0,0.26977486200478185,0.7302251379952182,0,0
35,N7E,0.0,0.0,0.6518783107459243,0.3481216892540757,0,0
36,N0W,0.0,1.0,0.39478322969944146,0.6052167703005585,1,0
37,N1B,1.0,1.0,0.2819949115046947,0.7180050884953053,0,0
38,N8C,1.0,1.0,0.43118092268820596,0.568819077311794,0,0
39,MZ1,1.0,1.0,0.3325338847125987,0.6674661152874013,0,0
40,MQ2,1.0,1.0,0.45899896797736606,0.5410010320226339,0,0
41,MZP,1.0,1.0,0.2528648994965792,0.7471351005034208,0,0
42,N10,1.0,1.0,0.4427909562065736,0.5572090437934264,0,0
43,MTX,1.0,0.0,0.6123233037775092,0.3876766962224908,0,1
44,KLM,0.0,1.0,0.45899896797736606,0.5410010320226339,1,0
45,N7Q,0.0,1.0,0.4621089636479623,0.5378910363520377,1,0
46,MVW,0.0,0.0,0.671489890872317,0.328510109127683,0,0
47,MUG,1.0,1.0,0.267315992451286,0.732684007548714,0,0
48,MZV,0.0,0.0,0.7764013064163009,0.22359869358369913,0,0
49,N1S,1.0,0.0,0.7258606460167532,0.2741393539832469,0,1
50,NA8,0.0,0.0,0.643308240646348,0.356691759353652,0,0
51,MU4,0.0,0.0,0.6182494312167528,0.38175056878324726,0,0
52,N4U,0.0,0.0,0.745290814369292,0.254709185630708,0,0
53,N62,0.0,1.0,0.3017903873104332,0.6982096126895668,1,0
54,N3W,0.0,1.0,0.3711250539751576,0.6288749460248424,1,0
55,MTV,1.0,0.0,0.6386742565966643,0.3613257434033357,0,1
56,MWH,0.0,0.0,0.5452989753393183,0.45470102466068174,0,0
57,N2S,0.0,0.0,0.5734313175626181,0.4265686824373819,0,0
58,N1K,1.0,0.0,0.6807854359993689,0.3192145640006311,0,1
59,N3E,1.0,0.0,0.5967007867461224,0.40329921325387763,0,1
60,MXM,0.0,0.0,0.6182494312167528,0.38175056878324726,0,0
61,N7C,1.0,1.0,0.4365897703197128,0.5634102296802872,0,0
62,N3Z,0.0,1.0,0.20243244646799163,0.7975675535320084,1,0
63,MWJ,0.0,1.0,0.4465932683002859,0.5534067316997141,1,0
64,MQI,0.0,0.0,0.5026855829153071,0.49731441708469293,0,0
65,B5H,0.0,0.0,0.5172513226188418,0.4827486773811583,0,0
66,N4B,0.0,0.0,0.5652664411460269,0.4347335588539731,0,0
67,N4F,0.0,1.0,0.4427909562065736,0.5572090437934264,1,0
68,MYH,1.0,1.0,0.34373918188347596,0.656260818116524,0,0
69,MXP,0.0,0.0,0.5749252318882168,0.42507476811178324,0,0
70,N8G,0.0,0.0,0.7476598192028694,0.25234018079713055,0,0
71,MQF,1.0,1.0,0.40913558192254984,0.5908644180774502,0,0
72,N6Q,0.0,1.0,0.2991592589199703,0.7008407410800297,1,0
73,N7Z,1.0,1.0,0.4489430155859986,0.5510569844140014,0,0
74,MYP,0.0,0.0,0.7872591390091085,0.21274086099089154,0,0
75,N5J,1.0,1.0,0.45278878691570623,0.5472112130842938,0,0
76,N1W,0.0,1.0,0.4621089636479623,0.5378910363520377,1,0
77,N07,0.0,1.0,0.43118092268820596,0.568819077311794,1,0
78,N65,0.0,0.0,0.6834996136443605,0.3165003863556395,0,0
79,N8B,1.0,0.0,0.5370419391394257,0.4629580608605744,0,1
80,MX7,0.0,1.0,0.4582839452235803,0.5417160547764197,1,0
81,NC0,0.0,1.0,0.4683038476055408,0.5316961523944592,1,0
82,N1J,0.0,1.0,0.304434604586183,0.695565395413817,1,0
83,N43,0.0,1.0,0.41503344599751524,0.5849665540024848,1,0
84,MUY,1.0,1.0,0.4621089636479623,0.5378910363520377,0,0
85,MYI,0.0,0.0,0.7476598192028694,0.25234018079713055,0,0
86,JGD,0.0,0.0,0.6586401681879692,0.3413598318120308,0,0
87,NAD,0.0,0.0,0.6152906437372301,0.3847093562627699,0,0
88,NCL,1.0,1.0,0.49056833161545477,0.5094316683845452,0,0
89,LBJ,0.0,1.0,0.43118092268820596,0.568819077311794,1,0
90,MWF,1.0,1.0,0.45589216302720836,0.5441078369727916,0,0
91,MS0,1.0,1.0,0.2760848348144903,0.7239151651855097,0,0
92,LCP,0.0,0.0,0.6093476076863955,0.3906523923136045,0,0
93,MY5,0.0,1.0,0.411226344397146,0.588773655602854,1,0
94,N2D,0.0,1.0,0.3480692646714927,0.6519307353285073,1,0
95,ND9,0.0,1.0,0.3991591730103583,0.6008408269896417,1,0
96,N7J,1.0,1.0,0.4342537277311217,0.5657462722688783,0,0
97,N3U,0.0,0.0,0.7412867847857618,0.2587132152142381,0,0
98,MUH,0.0,0.0,0.7208079218760577,0.2791920781239423,0,0
99,MW6,0.0,0.0,0.845425671247691,0.15457432875230906,0,0
100,MOH,0.0,0.0,0.5370419391394257,0.4629580608605744,0,0
101,N5C,0.0,0.0,0.6093476076863955,0.3906523923136045,0,0
102,NB0,0.0,1.0,0.4621089636479623,0.5378910363520377,1,0
103,MV5,0.0,0.0,0.7637856147910917,0.23621438520890825,0,0
104,N8Z,0.0,1.0,0.3424100205580708,0.6575899794419292,1,0
105,JY9,0.0,1.0,0.4882252676901767,0.5117747323098233,1,0
106,M7H,0.0,0.0,0.6152906437372301,0.3847093562627699,0,0
107,N0U,1.0,0.0,0.6182494312167528,0.38175056878324726,0,1
108,N4I,0.0,0.0,0.6862013508988661,0.31379864910113386,0,0
109,N1E,0.0,0.0,0.8039847918148606,0.19601520818513946,0,0
110,MXB,0.0,0.0,0.8381049305568008,0.1618950694431992,0,0
111,MXX,0.0,0.0,0.5991965227927663,0.4008034772072337,0,0
112,MYJ,1.0,1.0,0.2711092681999977,0.7288907318000023,0,0
113,MW4,1.0,1.0,0.301462817967897,0.698537182032103,0,0
114,MRN,0.0,1.0,0.27888776617409006,0.7211122338259099,1,0
115,MUQ,0.0,0.0,0.6834996136443605,0.3165003863556395,0,0
116,N1V,0.0,0.0,0.6908095747766057,0.30919042522339435,0,0
117,N87,0.0,0.0,0.6501472233112477,0.3498527766887523,0,0
118,NB6,0.0,0.0,0.6366295402178697,0.36337045978213034,0,0
119,NBJ,0.0,0.0,0.621199472333652,0.378800527666348,0,0
120,N9B,0.0,0.0,0.6220304422769883,0.37796955772301166,0,0
121,KZM,0.0,0.0,0.5276931093924304,0.4723068906075696,0,0
122,N8W,0.0,0.0,0.7436802225737109,0.25631977742628914,0,0
123,N7U,0.0,1.0,0.45589216302720836,0.5441078369727916,1,0
124,NAC,0.0,1.0,0.4496890766991197,0.5503109233008803,1,0
125,N6I,0.0,0.0,0.6111276489075517,0.3888723510924483,0,0
126,MU8,0.0,0.0,0.6339774396276416,0.3660225603723583,0,0
127,MOY,0.0,0.0,0.7953495093133731,0.2046504906866269,0,0
128,N1G,0.0,0.0,0.7476598192028694,0.25234018079713055,0,0
